FORMA|KEY|SIGL
chierement|chierement|v
norir|norir|v
et|et|v
garder|garder|v
##|##
.|.|v
coment|coment|v
paris|paris1|v
ho|ho|v
sa|sa|v
##|##
navie|navie|v
ariva|ariva|v
en|en|v
grese|grese|v
à|à|v
##|##
l’|l’1|v
isle|isle|v
de|de|v
citea|citea|v
,|,|v
##|##
qi|qi|v
estoit|estoit|v
de|de|v
menelaus|menelaus|v
paris|paris1|v
##|##
et|et|v
sa|sa|v
conpaignie|conpaignie|v
hont|hont|v
tant|tant|v
##|##
alés|alés6|v
et|et|v
tant|tant|v
siglés|siglés|v
q’|q’1|v
##|##
il|il1|v
ariverent|ariverent|v
en|en|v
grese|grese|v
à|à|v
##|##
un|un1|v
ille|ille|v
qui|qui|v
estoit|estoit2|v
à|à|v
##|##
celui|celui1|v
tenz|tenz|v
apellee|apellee|v
chitera|chitera|v
,|,|v
##|##
selonc|selonc|v
ce_qe|ce_qe|v
le|le2|v
scriture|scriture|v
nos|nos1|v
##|##
dit|dit4|v
,|,|v
qi|qi|v
estoit|estoit|v
de|de|v
##|##
la|la|v
seignorie|seignorie|v
menelax|menelax|v
.|.|v
li|li|v
##|##
tenz|tenz1|v
estoit|estoit1|v
adonc|adonc|v
moult|moult|v
cler|cler|v
##|##
et|et|v
serins|serins|v
.|.|v
à|à|v
cele|cele|v
##|##
isle|isle|v
estoit|estoit|v
un|un|v
tenple|tenple|v
moult|moult|v
##|##
riche|riche2|v
et|et|v
ansien|ansien|v
,|,|v
là_où|là_où|v
##|##
toute|toute|v
la|la|v
gent|gent|v
avoient|avoient|v
moult|moult|v
##|##
grant|grant4|v
devosion|devosion|v
,|,|v
si|si|v
i|i|v
##|##
venoient|venoient|v
les|les1|v
genz|genz|v
dou|dou|v
païs|païs|v
##|##
sacrefice|sacrefice|v
et|et|v
horison|horison|v
faire|faire|v
car|car|v
##|##
moult|moult|v
i|i|v
avoient|avoient|v
grant|grant4|v
devosion|devosion|v
##|##
;|;|v
si|si|v
i|i|v
ofroient|ofroient|v
de|de|v
riches|riches2|v
##|##
dons|dons|v
et|et|v
i|i|v
prenoient|prenoient|v
devin|devin|v
##|##
respons|respons|v
.|.|v
à|à|v
celui|celui1|v
tenz|tenz|v
##|##
qe|qe3|v
paris|paris1|v
i|i|v
ariva|ariva|v
,|,|v
##|##
i|i|v
fesoient|fesoient|v
les|les1|v
genz|genz|v
à|à|v
##|##
celui|celui1|v
temple|temple1|v
moult|moult|v
grant|grant4|v
feste|feste|v
##|##
,|,|v
car|car|v
il|il1|v
estoient|estoient2|v
tos|tos4|v
##|##
venus|venus1|v
à|à|v
grant|grant4|v
joie|joie|v
et|et|v
##|##
à|à|v
grant|grant1|v
desduit|desduit|v
,|,|v
car|car|v
##|##
lendemain|lendemain|v
devoient|devoient|v
celebrer|celebrer|v
cele|cele|v
grant|grant4|v
##|##
feste|feste|v
à|à|v
la|la|v
deesse|deesse|v
juno|juno|v
##|##
.|.|v
paris|paris1|v
,|,|v
puis_q’|puis_q’|v
il|il|v
##|##
fu|fu2|v
arivés|arivés2|v
,|,|v
il|il|v
descendi|descendi|v
##|##
de|de|v
nes|nes2|v
entre|entre|v
lui|lui|v
et|et|v
##|##
sa|sa|v
conpaignie|conpaignie|v
.|.|v
paris|paris1|v
estoit|estoit1|v
##|##
moult|moult|v
biau|biau|v
de|de|v
vis|vis|v
et|et|v
##|##
de|de|v
faisons|faisons|v
,|,|v
tel|tel1|v
estoit|estoit1|v
##|##
q’|q’1|v
il|il2|v
nen|nen|v
avoit|avoit1|v
au|au|v
##|##
monde|monde1|v
son|son|v
paroil|paroil|v
.|.|v
il|il|v
##|##
estoit|estoit2|v
adonc|adonc|v
moult|moult|v
gentement|gentement|v
adornés|adornés|v
##|##
de|de|v
moult|moult|v
riches|riches|v
vesteüres|vesteüres|v
;|;|v
ces|ces3|v
##|##
conpaignons|conpaignons|v
estoient|estoient3|v
adonques|adonques|v
ahornés|ahornés3|v
à|à|v
##|##
guise|guise|v
de|de|v
roiz|roiz|v
et|et|v
de|de|v
##|##
barons|barons3|v
.|.|v
quant|quant|v
paris|paris1|v
fu|fu2|v
##|##
au|au|v
tenple|tenple1|v
venus|venus|v
,|,|v
il|il|v
##|##
aparoillier|aparoillier1|v
un|un|v
moult|moult|v
riche|riche3|v
sacrefice|sacrefice|v
##|##
à|à|v
la|la|v
guise|guise|v
troiene|troiene|v
,|,|v
##|##
si|si|v
le|le4|v
sacrefia|sacrefia|v
à|à|v
la|la|v
##|##
guise|guise|v
de|de|v
troie|troie|v
à|à|v
la|la|v
##|##
deesse|deesse|v
diane|diane|v
,|,|v
moult|moult|v
con|con|v
##|##
grant|grant4|v
devosion|devosion|v
et|et|v
ho|ho|v
sinple|sinple|v
##|##
chiere|chiere|v
.|.|v
