FORMA|KEY|SIGL
ma|ma|p
loi|loi|p
qe|qe3|p
,|,|p
##|##
se|se2|p
vos|vos1|p
la|la|p
toison|toison|p
m’|m’|p
##|##
aportés|aportés1|p
,|,|p
je|je|p
vos|vos|p
ferai|ferai|p
##|##
en|en|p
ma|ma|p
vie|vie|p
hoir|hoir|p
de|de|p
##|##
mon|mon1|p
reigne|reigne|p
et|et|p
vos|vos|p
en|en2|p
##|##
dorai|dorai|p
la|la|p
seignorie|seignorie|p
si|si|p
ne|ne|p
##|##
vos|vos|p
faudrai|faudrai|p
enult|enult|p
tens|tens1|p
à|à|p
##|##
chouse|chouse|p
faire|faire|p
qe|qe|p
plaisir|plaisir|p
vos|vos|p
##|##
soit|soit|p
"|"||p
.|.|p
coment|coment|p
jason|jason|p
##|##
respondi|respondi|p
à|à|p
son|son1|p
honcle|honcle|p
d’|d’|p
##|##
aler|aler1|p
la|la|p
touson|touson|p
quere|quere|p
.|.|p
##|##
quant|quant|p
jason|jason|p
entendi|entendi|p
ce_qe|ce_qe|p
son|son|p
##|##
oncle|oncle|p
li|li2|p
dit|dit2|p
et|et|p
la|la|p
##|##
grant|grant4|p
promesion|promesion|p
qu’|qu’|p
il|il|p
li|li2|p
##|##
fet|fet2|p
,|,|p
il|il|p
en|en2|p
ot|ot|p
##|##
mult|mult|p
grant|grant4|p
joie|joie|p
de_denz|de_denz|p
son|son1|p
##|##
cuer|cuer|p
car|car|p
il|il|p
pensoit|pensoit|p
bien|bien4|p
##|##
q’|q’1|p
il|il|p
avoit|avoit|p
tant|tant|p
de|de|p
##|##
force|force|p
et|et|p
de|de|p
pooir|pooir|p
qe|qe3|p
##|##
,|,|p
c’|c’|p
il|il|p
de|de|p
ce|ce1|p
##|##
se|se|p
voloit|voloit1|p
entremetre|entremetre|p
,|,|p
nulle|nulle|p
##|##
rienz|rienz1|p
vivant|vivant|p
ne|ne|p
porroit|porroit|p
le|le|p
##|##
monton|monton1|p
garentir|garentir|p
q’|q’1|p
il|il|p
ne|ne|p
##|##
l_en|l_en|p
aport|aport|p
.|.|p
si|si|p
avoit|avoit|p
##|##
adonc|adonc|p
jason|jason|p
mult|mult|p
grant|grant4|p
volonté|volonté|p
##|##
d’|d’|p
aler|aler|p
por|por|p
les|les1|p
estrange|estrange1|p
##|##
contrees|contrees|p
et|et|p
regions|regions|p
dou|dou|p
monde|monde1|p
##|##
q’|q’|p
il|il|p
avoit|avoit2|p
hoï|hoï1|p
nomer|nomer|p
##|##
,|,|p
veant|veant|p
et|et|p
chersant|chersant|p
et|et|p
##|##
fesant|fesant|p
chouse|chouse|p
por|por|p
quoi|quoi|p
son|son|p
##|##
non|non1|p
fust|fust2|p
creüz|creüz1|p
et|et|p
ensausiéz|ensausiéz|p
##|##
.|.|p
et|et|p
por_ce|por_ce|p
respondi|respondi|p
il|il|p
##|##
à|à|p
son|son1|p
honcle|honcle|p
en|en|p
tel|tel6|p
##|##
mainiere|mainiere|p
:|:|p
"|"||p
sire|sire|p
,|,|p
fist|fist|p
##|##
il|il|p
,|,|p
je|je|p
cuit|cuit|p
et|et|p
##|##
croi|croi|p
qe|qe3|p
vos|vos1|p
amés|amés|p
mult|mult|p
##|##
l’|l’|p
enor|enor|p
et|et|p
le|le|p
bien|bien1|p
##|##
de|de|p
moi|moi|p
tos|tos3|p
ensi|ensi|p
com|com|p
##|##
vos|vos1|p
dites|dites|p
.|.|p
et|et|p
por_ce_qe|por_ce_qe|p
##|##
je|je|p
croi|croi|p
q’|q’1|p
il|il2|p
est|est|p
##|##
ensi|ensi|p
,|,|p
je|je|p
sui|sui1|p
prest|prest|p
##|##
et|et|p
aparoillés|aparoillés6|p
de_l’|de_l’|p
aler|aler2|p
à|à|p
##|##
vostre|vostre1|p
commandement|commandement|p
.|.|p
et|et|p
de_ce_qe|de_ce_qe|p
##|##
si|si|p
grant|grant4|p
chouse|chouse|p
me|me|p
prometés|prometés|p
##|##
,|,|p
vos|vos|p
merci|merci|p
je|je|p
sor|sor|p
##|##
toutes|toutes|p
rienz|rienz2|p
"|"||p
.|.|p
mult|mult|p
##|##
estoit|estoit1|p
jason|jason|p
à|à|p
se|se4|p
faire|faire|p
##|##
volontos|volontos|p
por_ce_q’|por_ce_q’|p
il|il|p
ne|ne|p
pensoit|pensoit|p
##|##
mie|mie|p
à_la|à_la|p
fellonie|fellonie|p
son|son1|p
honcle|honcle|p
##|##
.|.|p
coment|coment|p
pelleus|pelleus|p
comanda|comanda|p
la|la|p
##|##
nef|nef|p
aparoiller|aparoiller|p
por|por|p
jason|jason1|p
envoier|envoier|p
##|##
au|au|p
colcos|colcos|p
la|la|p
toison|toison|p
quere|quere|p
##|##
.|.|p
mult|mult|p
hot|hot1|p
li|li|p
roi|roi|p
##|##
pelleus|pelleus|p
grant|grant4|p
joie|joie|p
de|de|p
ce_qe|ce_qe|p
##|##
jason|jason|p
li|li2|p
respondi|respondi|p
,|,|p
si|si|p
##|##
pensa|pensa|p
maintenant|maintenant|p
de_l’|de_l’|p
ovre|ovre|p
haster|haster|p
##|##
.|.|p
maintenant|maintenant|p
manda|manda|p
li|li|p
roi|roi|p
##|##
pelleus|pelleus|p
por|por|p
le|le|p
plus|plus2|p
soverain|soverain|p
##|##
engigneor|engigneor|p
qi|qi|p
fust|fust1|p
adonc|adonc|p
au|au|p
##|##
monde|monde1|p
,|,|p
qi|qi|p
avoit|avoit|p
non|non2|p
##|##
argus|argus1|p
.|.|p
et|et|p
quant|quant|p
argus|argus|p
##|##
fu|fu|p
devant|devant1|p
li|li|p
roi|roi|p
pelleus|pelleus|p
##|##
,|,|p
li|li|p
roi|roi|p
li|li|p
commanda|commanda|p
##|##
qu’|qu’1|p
il|il|p
feïst|feïst|p
la|la|p
plus|plus2|p
##|##
grant|grant4|p
nef|nef|p
et|et|p
la|la|p
plus|plus2|p
##|##
riche|riche|p
et|et|p
la|la|p
miaudre|miaudre|p
aparoillee|aparoillee6|p
##|##
,|,|p
por|por|p
grant|grant5|p
hondes|hondes|p
soufrir|soufrir|p
##|##
ce|ce2|p
·l|·l1|p
beisoins|beisoins|p
en|en2|p
venist|venist|p
##|##
,|,|p
q’|q’|p
il|il|p
seüst|seüst|p
fere|fere|p
##|##
.|.|p
argus|argus|p
li|li2|p
respondi|respondi|p
qe|qe3|p
##|##
ce|ce1|p
feroit|feroit|p
il|il|p
bien|bien4|p
et|et|p
##|##
volontier|volontier|p
à|à|p
tot|tot3|p
son|son1|p
pooir|pooir|p
##|##
et|et|p
q’|q’1|p
il|il|p
le|le4|p
la|la1|p
##|##
cuidoit|cuidoit|p
doner|doner|p
fete|fete2|p
et|et|p
aparoillee|aparoillee|p
##|##
de_denz|de_denz|p
un|un|p
mois|mois|p
et|et|p
en|en|p
##|##
mains|mains|p
bien|bien4|p
et|et|p
gentement|gentement|p
aparoilliee|aparoilliee|p
##|##
si_come|si_come|p
à|à|p
tel|tel6|p
nef|nef|p
convendroit|convendroit|p
##|##
por|por|p
nagier|nagier|p
en|en|p
aute|aute|p
mer|mer|p
##|##
de|de|p
jor|jor|p
et|et|p
de|de|p
nuit|nuit|p
##|##
.|.|p
coment|coment|p
li|li|p
vaillant|vaillant|p
bachelier|bachelier2|p
##|##
de|de|p
la|la|p
contree|contree|p
vindrent|vindrent|p
à|à|p
##|##
jason|jason1|p
,|,|p
si|si|p
li|li2|p
ofrirent|ofrirent|p
##|##
conpaignie|conpaignie|p
tenir|tenir|p
en|en|p
celui|celui1|p
voiage|voiage|p
##|##
.|.|p
quant|quant|p
la|la|p
novelle|novelle|p
fu|fu1|p
##|##
espandue|espandue|p
coment|coment|p
li|li|p
roi|roi|p
pelleus|pelleus|p
##|##
fesoit|fesoit1|p
une|une|p
grant|grant4|p
nef|nef|p
fer|fer1|p
##|##
à|à|p
mult|mult|p
grant|grant4|p
haste|haste|p
,|,|p
##|##
