FORMA|KEY|LEMMA|ETIMO|LANG|DATE|POS|FUNCT|gender|number|case|degree|deterType|MWEs|pronType|person|verbForm|mood|tense|voice|property|adpType|advType|advType2|numType|partType|g|h|p|v|LOC.1|LOC.2|LOC.3|LOC.4|DATE.0|DATE.1|DATE.2
aleigre|aleigre|haliegre|ALACER|||adjective||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aleigre|aleigre2|haliegre|ALACER|||adjective||Masc|Plur|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aleigre|aleigre4|haliegre|ALACER|||adjective||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aler|aler|aler (GDC)|AMBULARE|||verb||||||||||Ind|Inf|Pres||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aler|aler1|aler (GDC)|AMBULARE|||verb|auxMod|||||||||Ind|Inf|Pres||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aler|aler2|aler (GDC)|AMBULARE|||verb|Noun|||||||||Ind|Inf|Pres||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alerent|alerent|aler (GDC)|AMBULARE|||verb|||Plur||||||3|Fin|Ind|Past||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alerent|alerent1|aler (GDC)|AMBULARE|||verb|||Plur||||||3|Fin|Ind|Past|Rfl|||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aleüre|aleüre|alëure|AMBULARE|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alixandre|alixandre|Alisandre||||properNoun||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aloient|aloient|aler (GDC)|AMBULARE|||verb|||Plur||||||3|Fin|Ind|Imp||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aloient|aloient3|aler (GDC)|AMBULARE|||verb|auxMod||Plur||||||3|Fin|Ind|Imp||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aloit|aloit|aler (GDC)|AMBULARE|||verb|||Sing||||||3|Fin|Ind|Imp||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aloit|aloit2|aler (GDC)|AMBULARE|||verb|auxMod||Sing||||||3|Fin|Ind|Imp||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alumoient|alumoient|alumer|*ALLUMINARE|||verb|||Plur||||||3|Fin|Ind|Imp||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alumés|alumés|alumer|*ALLUMINARE|||verb|Adj|Masc|Plur|||||||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alés|alés2|aler (GDC)|AMBULARE|||verb|auxMod||Plur||||||2|Fin|Ind|Pres||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alés|alés3|aler (GDC)|AMBULARE|||verb|||Plur||||||2|Fin|Imp|Pres||Intr||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alés|alés5|aler (GDC)|AMBULARE|||verb|auxMod||Plur||||||2|Fin|Imp|Pres||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alés|alés6|aler (GDC)|AMBULARE|||verb|compTens|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alés|alés7|aler (GDC)|AMBULARE|||verb|compTens|Masc|Plur||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
aléz|aléz|aler (GDC)|AMBULARE|||verb|compTens|Masc|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
alïés|alïés|aler (GDC)|AMBULARE|||verb|||Plur||||||2|Fin|Sub|Pres|Rfl|||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amanz|amanz|amer1|AMARE|||verb|Noun|||||||||Ind|Part|Pres||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amast|amast|amer1|AMARE|||verb|||Sing||||||3|Fin|Sub|Imp|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amenee|amenee|amener|MINARE|||verb|compTens|Fem|Sing||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amenés|amenés|amener|MINARE|||verb|compTens|Masc|Plur||||MWEs|||Ind|Part|Past||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amer|amer|amer1|AMARE|||verb||||||||||Ind|Inf|Pres|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amerai|amerai|amer1|AMARE|||verb|||Sing||||||1|Fin|Ind|Fut|Act|Trans||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
ami|ami|ami|AMICUS|||noun||Masc|Sing|Nom||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
amie|amie|ami|AMICUS|||noun||Fem|Sing|||||||||||||||||g||p|v|grenoble||paris|venezia|XII|XIII|XIV
