FORMA|KEY|SIGL
donoit|donoit|g
d’|d’|g
aler|aler1|g
la|la|g
toison|toison|g
##|##
quere|quere|g
,|,|g
grant|grant1|g
pris|pris|g
et|et|g
##|##
grant|grant1|g
henor|henor|g
et|et|g
conqerrés|conqerrés|g
.|.|g
##|##
et|et|g
je|je|g
vos|vos|g
jur|jur|g
et|et|g
##|##
afi|afi|g
sor|sor|g
tos|tos1|g
les|les|g
diex|diex|g
##|##
de|de|g
ma|ma|g
loi|loi|g
qe|qe3|g
,|,|g
##|##
se|se2|g
vos|vos1|g
la|la|g
toison|toison|g
m’|m’|g
##|##
aportés|aportés1|g
,|,|g
je|je|g
vos|vos|g
ferai|ferai|g
##|##
en|en|g
ma|ma|g
vie|vie|g
hoir|hoir|g
de|de|g
##|##
mon|mon1|g
reigne|reigne|g
et|et|g
vos|vos|g
en|en2|g
##|##
dorai|dorai|g
la|la|g
seignorie|seignorie|g
si|si|g
ne|ne|g
##|##
vos|vos|g
faudrai|faudrai|g
enult|enult|g
tens|tens1|g
à|à|g
##|##
chouse|chouse|g
faire|faire|g
qe|qe|g
plaisir|plaisir|g
vos|vos|g
##|##
soit|soit|g
"|"||g
.|.|g
coment|coment|g
jason|jason|g
##|##
respondi|respondi|g
à|à|g
son|son1|g
honcle|honcle|g
d’|d’|g
##|##
aler|aler1|g
la|la|g
touson|touson|g
quere|quere|g
.|.|g
##|##
quant|quant|g
jason|jason|g
entendi|entendi|g
ce_qe|ce_qe|g
son|son|g
##|##
oncle|oncle|g
li|li2|g
dit|dit2|g
et|et|g
la|la|g
##|##
grant|grant4|g
promesion|promesion|g
qu’|qu’|g
il|il|g
li|li2|g
##|##
fet|fet2|g
,|,|g
il|il|g
en|en2|g
ot|ot|g
##|##
mult|mult|g
grant|grant4|g
joie|joie|g
de_denz|de_denz|g
son|son1|g
##|##
cuer|cuer|g
car|car|g
il|il|g
pensoit|pensoit|g
bien|bien4|g
##|##
q’|q’1|g
il|il|g
avoit|avoit|g
tant|tant|g
de|de|g
##|##
force|force|g
et|et|g
de|de|g
pooir|pooir|g
qe|qe3|g
##|##
,|,|g
c’|c’|g
il|il|g
de|de|g
ce|ce1|g
##|##
se|se|g
voloit|voloit1|g
entremetre|entremetre|g
,|,|g
nulle|nulle|g
##|##
rienz|rienz1|g
vivant|vivant|g
ne|ne|g
porroit|porroit|g
le|le|g
##|##
monton|monton1|g
garentir|garentir|g
q’|q’1|g
il|il|g
ne|ne|g
##|##
l_en|l_en|g
aport|aport|g
.|.|g
si|si|g
avoit|avoit|g
##|##
adonc|adonc|g
jason|jason|g
mult|mult|g
grant|grant4|g
volonté|volonté|g
##|##
d’|d’|g
aler|aler|g
por|por|g
les|les1|g
estrange|estrange1|g
##|##
contrees|contrees|g
et|et|g
regions|regions|g
dou|dou|g
monde|monde1|g
##|##
q’|q’|g
il|il|g
avoit|avoit2|g
hoï|hoï1|g
nomer|nomer|g
##|##
,|,|g
veant|veant|g
et|et|g
chersant|chersant|g
et|et|g
##|##
fesant|fesant|g
chouse|chouse|g
por|por|g
quoi|quoi|g
son|son|g
##|##
non|non1|g
fust|fust2|g
creüz|creüz1|g
et|et|g
ensausiéz|ensausiéz|g
##|##
.|.|g
et|et|g
por_ce|por_ce|g
respondi|respondi|g
il|il|g
##|##
à|à|g
son|son1|g
honcle|honcle|g
en|en|g
tel|tel6|g
##|##
mainiere|mainiere|g
:|:|g
"|"||g
sire|sire|g
,|,|g
fist|fist|g
##|##
il|il|g
,|,|g
je|je|g
cuit|cuit|g
et|et|g
##|##
croi|croi|g
qe|qe3|g
vos|vos1|g
amés|amés|g
mult|mult|g
##|##
l’|l’|g
enor|enor|g
et|et|g
le|le|g
bien|bien1|g
##|##
de|de|g
moi|moi|g
tos|tos3|g
ensi|ensi|g
com|com|g
##|##
vos|vos1|g
dites|dites|g
.|.|g
et|et|g
por_ce_qe|por_ce_qe|g
##|##
je|je|g
croi|croi|g
q’|q’1|g
il|il2|g
est|est|g
##|##
ensi|ensi|g
,|,|g
je|je|g
sui|sui1|g
prest|prest|g
##|##
et|et|g
aparoillés|aparoillés6|g
de_l’|de_l’|g
aler|aler2|g
à|à|g
##|##
vostre|vostre1|g
commandement|commandement|g
.|.|g
et|et|g
de_ce_qe|de_ce_qe|g
##|##
si|si|g
grant|grant4|g
chouse|chouse|g
me|me|g
prometés|prometés|g
##|##
,|,|g
vos|vos|g
merci|merci|g
je|je|g
sor|sor|g
##|##
toutes|toutes|g
rienz|rienz2|g
"|"||g
.|.|g
mult|mult|g
##|##
estoit|estoit1|g
jason|jason|g
à|à|g
